Nro;ID_PFI2023;ORDEN DE PRIORIZACIÓN DE LA JURISDICCIÓN;ID_JURISDICCION;REGION;JURISDICCION;TITULO;INSTITUCION EJECUTORA;INSTITUCION BENEFICIARIA;CARACTER DE LA INSTITUCION BENEFICIARIA;MONTO MINCYT SOLICITADO;MONTO CONTRAPARTE ;MONTO TOTAL PROYECTO;RELACION MINCYT;MONTO RUBRO RECURSOS HUMANOS;MONTO BIENES DE CAPITAL;MONTO FORMULACION PY UVT;PERFIL INSTITUCIONAL del BENEFICIARIO;OSE PRINCIPAL
1;BA-1-PFI-2023;1;BA;METROPOLITANA;BUENOS AIRES;Mejora en la Eficiencia y Extensión de la Vida Util de un Equipo de Produccion Nacional para la Separacion de Residuos Oleosos Portuarios;INSTITUTO DE CIENCIA Y TECNOLOGIA DE ALIMENTOS Y AMBIENTE (INCITAA);UNIVERSIDAD NACIONAL DE MAR DEL PLATA;PUBLICO;25000000;12451746;37451746;0.667525620834874;12451746;12010000;490000;Univ Pub;02-Medio Ambiente
2;BA-2-PFI-2023;2;BA;METROPOLITANA;BUENOS AIRES;Desarrollo de Formulación GalEnica, a base de propóleo, y dispositivo de aplicación intravaginal/intrauterina para porcinos y bovinos.;Laboratorio de Biomateriales , BiomecAnica  y Bioinstrumentación(Lab3Bio) Escuela de Ciencia y Tecnología UNSAM;UNIVERSIDAD NACIONAL DE GENERAL SAN MARTIN;PUBLICO;27830000;16490000;44320000;0.62793321299639;14340000;12740000;770000;Univ Pub;08-Agricultura
3;BA-3-PFI-2023;3;BA;METROPOLITANA;BUENOS AIRES;Trituradora Primaria Móvil de NeumAticos Fuera de Uso;UNIVERSIDAD TECNOLOGICA NACIONAL FACULTAD REGIONAL LA PLATA;UNIVERSIDAD TECNOLOGICA NACIONAL FACULTAD REGIONAL LA PLATA;PUBLICO;33000000;8800000;41800000;0.789473684210526;7440000;1000000;0;Univ Pub;02-Medio Ambiente
4;BA-4-PFI-2023;4;BA;METROPOLITANA;BUENOS AIRES;Aplicación de Lactiplantibacillus plantarum como cultivo probiótico adjunto para el desarrollo de un alimento cArnico crudo-curado fermentado funcional;FACULTAD DE CIENCIAS VETERINARIAS UNCPBA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;PUBLICO;16000000;5400000;21400000;0.747663551401869;5400000;8000000;0;Univ Pub;06-Producción y tecnología industrial
5;BA-5-PFI-2023;5;BA;METROPOLITANA;BUENOS AIRES;Rediseño de una planta piloto para extracción de aceites vegetales a travEs de CO2 en estado supercrítico.;UNIVERSIDAD NACIONAL ARTURO JAURETCHE;UNIVERSIDAD NACIONAL ARTURO JAURETCHE;PUBLICO;20000000;5000000;25000000;0.8;2400000;10000000;500000;Univ Pub;06-Producción y tecnología industrial
6;BA-6-PFI-2023;6;BA;METROPOLITANA;BUENOS AIRES;AnAlisis de fatibilidad de aplicación de espectrometría de masas para la determinación de bajas concentraciones de isótopos de hidrógeno orientado a los programas de vigilancia de centrales nucleares de potencia de Uranio Natural y Agua Pesada.;COMISION NACIONAL DE ENERGIA ATOMICA;COMISIÓN NACIONAL DE ENERGÍA ATÓMICA;PUBLICO;49700000;16557000;66257000;0.750109422400652;14040000;19400000;0;CNEA;05-Energía
7;BA-7-PFI-2023;7;BA;METROPOLITANA;BUENOS AIRES;Desarrollo y Producción a Escala Piloto de una Barra de Cereal Rica en Fibras y Proteínas Mediante la Revalorización de Subproductos de la Industria Alimentaria.;UNIVERSIDAD NACIONAL DE HURLINGHAM;UNIVERSIDAD NACIONAL DE HURLINGHAM;PUBLICO;20000000;10788000;30788000;0.649603741717552;10788000;10000000;0;Univ Pub;06-Producción y tecnología industrial
8;CA-1-PFI-2023;1;CAB;METROPOLITANA;CABA;Laboratorios de Tecnologías Emergentes Aplicadas con Orientación a la Transición EnergEtica;SECRETARIA DE CIENCIA Y TECNOLOGIA DE RECTORADO Y CONSEJO SUPERIOR DE LA UNIVERSIDAD DE BUENOS AIRES;UNIVERSIDAD DE BUENOS AIRES;PUBLICO;120000000;3000000;123000000;0.975609756097561;30000000;60000000;640000;Univ Pub;05-Energía
9;CA-2-PFI-2023;2;CAB;METROPOLITANA;CABA;Desarrollo de herramientas de diagnóstico temprano de trastornos cardíacos en pacientes con serologia positiva para la enfermedad de Chagas y transferencia de la tecnología desarrollada.;UNIVERSIDAD ABIERTA INTERAMERICANA A TRAVES DE SU CENTRO DE ALTOS ESTUDIOS EN CIENCIAS HUMANAS Y DE LA SALUD (CAECHIS);UNIVERSIDAD ABIERTA INTERAMERICANA;PRIVADO;14980000;6420000;21400000;0.7;0;7000000;400000;Univ Priv;07-Salud
10;CA-1-PFI-2023;1;CA;NOA;CATAMARCA;IMPLEMENTACI ÓN DE UN BIOBANCO REGIONAL CON TECNOLOGÍASDE PROTECCIÓN DE INFORMACIÓN: PRINCIPIOS PARA AVANZAR EN LA INVESTIGACIÓN Y EN LA TOMA DE DECISIONES ENTORNO A LA SALUD DE LA COMUNIDAD CATAMARQUEÑA.;UNCA;Universidad Nacional de Catamarca;PUBLICO;25000000;9160000;34160000;0.731850117096019;7800000;12500000;640000;Univ Pub;07-Salud
11;CA-2-PFI-2023;2;CA;NOA;CATAMARCA;CREACIÓN DE ELISA IN HOUSE PARA LA DETECCIÓN DE TRIQUINOSIS;UNCA;Universidad Nacional de Catamarca;PUBLICO;15000000;5400000;20400000;0.735294117647059;5400000;7500000;400000;Univ Pub;07-Salud
12;CA-3-PFI-2023;3;CA;NOA;CATAMARCA;RIEGO POR VERTIENTE - APROVECHAMIENTO DEL NIVEL NATURAL DEL TERRENO;Subsecretaria de Planificación Modernización e inclusión de nuevas tecnologías de la Municipalidad de Valle Viejo;MUNICIPALIDAD DE VALLE VIEJO;PUBLICO;20000000;8800000;28800000;0.694444444444444;7350000;10000000;1000000;Municipio;08-Agricultura
13;CA-4-PFI-2023;4;CA;NOA;CATAMARCA;LABORATORIO PROTOTIPADO DE AGREGADO DE VALOR DE ECONOMÍA REGIONAL (NUEZ);INTA;MUNICIPALIDAD DE LONDRES;PUBLICO;25000000;7000000;32000000;0.78125;0;9078000;0;Municipio;06-Producción y tecnología industrial
14;CA-5-PFI-2023;5;CA;NOA;CATAMARCA;UN APORTE HACIA LA EFICIENCIA ENERGETICA Y LA FORMACIÓN DE RECURSOS HUMANOS LOCALES CON ENERGIAS RENOVABLES EN EL CENTRO DE INNOVACIÓN- PACLIN INTERACTIVO;;MUNICIPALIDAD DE PACLIN;PUBLICO;22500000;6000000;28500000;0.789473684210526;6000000;9440000;0;Municipio;05-Energía
15;CA-6-PFI-2023;6;CA;NOA;CATAMARCA;RECUPERACIÓN DE MICROPOLO DE TALLERES CON ESPECIALIZACIÓN EN FABRICACIÓN DE CALZADO;TANGO DE SERSA FABRICA DE ALPARGATAS;TANGO DE SERSA;PRIVADO;15000000;7500000;22500000;0.666666666666667;0;7500000;100000;Emp Priv;06-Producción y tecnología industrial
16;CA-7-PFI-2023;7;CA;NOA;CATAMARCA;COCINA DIRECTA;COOPERATIVA DE TRABAJO AGROGANADERA AYNI LIMITADA.-;COOPERATIVA DE TRABAJO AGROGANADERA AYNI LIMITADA.-;PRIVADO;15000000;6600000;21600000;0.694444444444444;6600000;7500000;0;ESFL;06-Producción y tecnología industrial
17;CA-8-PFI-2023;8;CA;NOA;CATAMARCA;PUESTA A PUNTO Y TRANSFERENCIA DE BIOINSUMOS A BASE DE MICROORGANISMOS BENEFICOS PARA UNA PRODUCCION AGRICOLA SUSTENTABLE;UNCA;Universidad Nacional de Catamarca -Facultad de Ciencias Agrarias;PUBLICO;10000000;9126000;19126000;0.522848478510928;9126000;5000000;200000;Univ Pub;08-Agricultura
18;CA-9-PFI-2023;9;CA;NOA;CATAMARCA;RELATO DE LO INTANGIBLE DE UN CAMINO ANCESTRAL QUE UNE TERRITORIOS:PARQUE NACIONAL SIERRAS AMBATO - RP14;UNCA;MUNICIPALIDAD DE HUILLAPIMA;PUBLICO;10000000;2500000;12500000;0.8;600000;5000000;0;Municipio;10-Cultura, recreación, religión y medios de comunicación
19;CA-10-PFI-2023;10;CA;NOA;CATAMARCA;CARTOGRAFÍAS DIGITALES SOBRE PRACTICAS ALIMENTARIAS DE ADOLESCENTES ESCOLARIZADOS CATAMARQUEÑ@S: DISEÑO DE UNA APLICACIÓN DIGITAL PARA LA EDUCACION ALIMENTARIA;IRES;MUNICIPALIDAD DE SAN FERNANDO DEL VALLE DE CATAMARCA;PUBLICO;10000000;9832000;19832000;0.504235578862445;9632000;5354000;0;Municipio;07-Salud
20;CA-11-PFI-2023;11;CA;NOA;CATAMARCA;BIBLIOTECA DIGITAL DE AUTORES CATAMARQUEÑOS. PUESTA EN VALOR Y DIFUSION DE LA OBRA CIENTIFICA Y CULTURAL DE LA PROVINCIA DE CATAMARCA;UNCA;MINISTERIO DE CULTURA BIBLIOTECA PROVINCIAL DR. JULIO HERRERA ;PUBLICO;10000000;2088000;12088000;0.827266710787558;2088000;2100000;0;Org Pub;12-Producción general de conocimiento
21;CA-12-PFI-2023;12;CA;NOA;CATAMARCA;CHATBOT DE GESTION EDUCATIVA PARA EL ACOMPAÑAMIENTO PEDAGOGICO DE ESTUDIANTES DE NIVEL SUPERIOR;UNCA;Universidad Nacional de Catamarca;PUBLICO;12500000;2520000;15020000;0.832223701731025;2520000;3100000;0;Univ Pub;09-Educación
22;CA-13-PFI-2023;13;CA;NOA;CATAMARCA;FORTALECIMIENTO TECNOLÓGICO DE MUJERES RURALES PRODUCTORAS DE AGROALIMENTOS;IRES;MUNICIPALIDAD DE VALLE VIEJO;PUBLICO;10000000;5520000;15520000;0.644329896907217;5520000;7700000;0;Municipio;08-Agricultura
23;CHA-1-PFI-2023;1;CH;NEA;CHACO;"FORMULACIONES FARMACEUTICAS PEDIATRICAS A BASE DE NANO/MICROTECNOLOGÍA
";Instituto de Investigación en Procesos Tecnológicos Avanzados (INIPTA-CONICET-UNCAUS);Instituto de Investigación en Procesos Tecnológicos Avanzados (INIPTA-CONICET-UNCAUS);PUBLICO;15000000;3772080;18772080;0.799059028088523;3772080;7500000;375000;CONICET;07-Salud
24;CHA-2-PFI-2023;2;CH;NEA;CHACO;TECNOLOGÍA Y PROCESOS TECNOLÓGICOS LIMPIOS PARA LA EXTRACCIÓN DE AGUA SEGURA EN LOS PARAJES DE MISIÓN NUEVA POMPEYA Y EL SAUZALITO EN LOS BOSQUES CHAQUEÑOS DEL IMPENETRABLE;FACULTAD DE INGENIERIA – UNIVERSIDAD NACIONAL DEL NORDESTE ;FUNDACION EL IMPENETRABLE NUESTRA CASA;PUBLICO;11000000;3600000;14600000;0.753424657534247;0;2600000;200000;ESFL;07-Salud
25;CHA-3-PFI-2023;3;CH;NEA;CHACO;AERODESTILADOR- MEJORAMIENTO DE AGUAS SALOBRES EN PROCESOS DE BAJA ENTALPIA A TRAVES DE SISTEMA DE APROVECHAMIENTO DE ENERGÍA SOLAR;Universidad Nacional del Nordeste (UNNE);Universidad Nacional del Nordeste -Facultad de Ingeniería ;PUBLICO;10500000;4650000;15150000;0.693069306930693;4650000;4806000;210000;Univ Pub;02-Medio Ambiente
26;CHA-4-PFI-2023;4;CH;NEA;CHACO;ELABORACIÓN DE UN SNACK SALUDABLE A PARTIR DE INGREDIENTES NATURALES DE PRODUCCIÓN LOCAL;INIPTA (CONICET-UNCAUS);Instituto de Investigación en Procesos Tecnológicos Avanzados (INIPTA-CONICET-UNCAUS);PUBLICO;15000000;12849000;27849000;0.538618980932888;12849000;10400000;0;CONICET;07-Salud
27;CHA-5-PFI-2023;5;CH;NEA;CHACO;MONITOREO Y ALERTA TEMPRANA DE CIANOBACTERIAS, MICROALGAS, PLANTAS INVASORAS Y ESPECIES EXÓTICAS EN EL SITIO RAMSAR HUMEDALES CHACO: BUSCANDO SOLUCIONES SUSTENTABLES;Centro de Ecología Aplicada del Litoral CECOAL-CONICET-UNNE;Ministerio de Ambiente y Desarrollo Territorial Sostenible de la Provincia del Chaco-Subsecretaría de Ambiente y Biodiversidad de la Provincia del Chaco;PUBLICO;15538605;11400000;26938605;0.576815503252674;11400000;7305374;301817;Org Pub;04-Transporte, telecomunicación y otras infraestructuras
28;CHA-6-PFI-2023;6;CH;NEA;CHACO;ACTUALIZACIÓN CARTOGRAFICA DEL REGISTRO DE VIVIENDAS URBANAS MEDIANTE ALGORITMOS DE INTELIGENCIA ARTIFICIAL A PARTIR DE TELEDETECCIÓN E IMAGENES SATELITALES;Centro Interinstitucional de Ciencia de Datos (UBA);Dirección Provincial de Información Estadística y Territorial de la Provincia del Chaco (IPECD);PUBLICO;15000000;9011199;24011199;0.624708495398335;9011199;7500000;300000;Org Pub;04-Transporte, telecomunicación y otras infraestructuras
29;CHA-7-PFI-2023;7;CH;NEA;CHACO;DESARROLLO DE UN ENSAYO DE FLUJO LATERAL DE ACIDOS NUCLEICOS PARA EL DIAGNÓSTICO EN EL PUNTO DE ATENCIÓN DE LA PARACOCCIDIOIDOMICOSIS;Area Micología – Instituto de Medicina Regional – Universidad Nacional del Nordeste; Universidad Nacional del Nordeste-Area Micología–Instituto de Medicina Regional;PUBLICO;12000000;8140080;20140080;0.595826828890451;8140080;5900000;240000;Univ Pub;07-Salud
30;CHA-8-PFI-2023;8;CH;NEA;CHACO;DESARROLLO DE UNA PLATAFORMA DE CULTIVO IN VITRO DE ESPECIES VEGETALES DE INTERES MEDICINAL Y NUTRACEUTICO;INTA - EEA SAenz Peña;Universidad Nacional del Chaco Austral (UNCAUS);PUBLICO;10000000;7492167;17492167;0.5716844573917;7492167;5000000;200000;Univ Pub;06-Producción y tecnología industrial
31;CHA-9-PFI-2023;9;CH;NEA;CHACO;DESARROLLO DE UNA PLATAFORMA DE BIOENSAYOS CON SUSTANCIAS ACARICIDAS NATURALES PARA EL CONTROL INTEGRADO DE GARRAPATAS;INTA;Instituto Nacional de Tecnologia Agropecuaria (INTA);PUBLICO;10000000;8370000;18370000;0.544365813826892;7680000;6201000;204000;INTA;07-Salud
32;CHA-10-PFI-2023;10;CH;NEA;CHACO;OBTENCIÓN DE CONCENTRADOS BIACTIVOS A PARTIR DE FRUTILLA Y MAMÓN, CON POTENCIAL APLICACIÓN EN LA INDUSTRIA ALIMENTARIA ;EEA Colonia Benítez-INTA;Instituto Nacional de Tecnologia Agropecuaria (INTA-EEA Colonia Benítez);PUBLICO;12500000;8775600;21275600;0.587527496286826;8775600;8500000;200000;INTA;08-Agricultura
33;CHA-11-PFI-2023;11;CH;NEA;CHACO;DASHBOARD CON ESTIMACIONES Y PRONÓSTICOS DE LA HUMEDAD DE SUELO EN LA PROVINCIA DEL CHACO;CONICET CCT-Nordeste - IMIT;Consejo Nacional de Investigaciones Científicas y TEcnicas (CONICET- CCT Nordeste);PUBLICO;13000000;3852000;16852000;0.771421789698552;3852000;6000000;260000;CONICET;01-Exploración y explotación de la tierra
34;CHA-12-PFI-2023;12;CH;NEA;CHACO;IMPLEMENTACIÓN DE TECNICAS DE INMUNOENSAYOS PARA LA DETERMINACIÓN DE ALERGENOS Y HERBICIDAS EN ALIMENTOS;Universidad Tecnológica Nacional Resistencia;Universidad Tecnológica Nacional Resistencia;PUBLICO;11000000;2664000;13664000;0.805035128805621;2664000;6280000;250000;Univ Pub;08-Agricultura
35;CHA-13-PFI-2023;13;CH;NEA;CHACO;RELEVAMIENTO, MONITOREO Y EVALUACIÓN EX-POST DE INTERVENCIONES URBANAS DEL IPDUV ORIENTADOS A MEJORAR LAS POLÍTICAS DE HABITAT EN LA PROVINCIA DEL CHACO;Facultad de Arquitectura y Urbanismo de la Universidad Nacional del Nordeste - Observatorio Urbano y Regional (FAU-UNNE-OUR);Instituto Provincial de Desarrollo Urbano y Vivienda (IPDUV);PUBLICO;14000000;4661343;18661343;0.750213958341583;4311343;4530000;280000;Org Pub;04-Transporte, telecomunicación y otras infraestructuras
36;CHA-14-PFI-2023;14;CH;NEA;CHACO;APLICACIÓN DE PELÍCULAS BIODEGRADABLES COMO ENVASES INDIVIDUALES PARA LA CONSERVACIÓN DE PRODUCTOS DEL RUBRO PANADERÍA;Universidad Nacional del Chaco Austral (UNCAUS);Universidad Nacional del Chaco Austral (UNCAUS);PUBLICO;11000000;4113234;15113234;0.727838925805026;4113234;5550000;220000;Univ Pub;06-Producción y tecnología industrial
37;CHA-15-PFI-2023;15;CH;NEA;CHACO;FORTALECIMIENTO DE LA INDUSTRIA LACTEA CHAQUEÑA CON LA FORMULACIÓN DE HELADOS ARTESANALES EMPLEANDO LECHE FLUIDA;FACULTAD DE INGENIERIA – UNIVERSIDAD NACIONAL DEL NORDESTE; UNIVERSIDAD NACIONAL DEL NORDESTE-FACULTAD DE INGENIERIA –;PUBLICO;10000000;3600000;13600000;0.735294117647059;3600000;5000000;200000;Univ Pub;06-Producción y tecnología industrial
38;CHA-16-PFI-2023;16;CH;NEA;CHACO;OPTIMIZACIÓN DE PROCESOS DE PRODUCCIÓN DE NANOMATERIALES A PARTIR DE LA ABUNDANTE BIOMASA DEL CHACO;Instituto IMIT – Instituto de Modelado e Innovación Tecnológica (CONICET-UNNE);Universidad Nacional del Nordeste -Facultad de Ingeniería ;PUBLICO;14461395;11588304;26049699;0.555146337775342;11588304;7888000;204000;Univ Pub;06-Producción y tecnología industrial
39;CT-1-PFI-2023;1;CT;PATAGONIA;CHUBUT;Fortalecimiento de la cadena de valor acuícola nacional: producción de alimento balanceado de peces en base a langostino;Universidad Nacional de la Patagonia San Juan Bosco;Universidad Nacional de la Patagonia San Juan Bosco;PUBLICO;100000000;25410000;125410000;0.79738457858225;25410000;50000000;640000;Univ Pub;08-Agricultura
40;CT-2-PFI-2023;2;CT;PATAGONIA;CHUBUT;Diseño y escalado de bioinoculantes de bacterias rizosfericas patagónicas que incrementen el rendimiento y la acumulación de metabolitos secundarios de interEs en variedades medicinales de cannabis sativa;CIEFAP;Centro de Investigación y Extensión Forestal Andino Patagónico (CIEFAP);PUBLICO;30000000;7958101;37958101;0.79034512290275;7958101;15000000;600000;Otros Org CyT;08-Agricultura
41;CT-3-PFI-2023;3;CT;PATAGONIA;CHUBUT;Actualización e implementación de tecnología industria 4.0 en una planta productora de biocombustibles sólidos a partir de materias no aprovechables para la industria de la madera en la localidad de Trevelin, Chubut.;INTI;BRAGO ENERGIA S.A;PRIVADO;20000000;8571429;28571429;0.6999999895;0;7762000;0;Emp Priv;05-Energía
42;CT-4-PFI-2023;4;CT;PATAGONIA;CHUBUT;laboratorio de producción de embriones in vitro en bovinos y ovinos en Esquel.;INPA ;THE EMBRYO FACTORY S.A;PRIVADO;20000000;10000000;30000000;0.666666666666667;0;8000000;550000;Emp Priv;08-Agricultura
43;CT-5-PFI-2023;5;CT;PATAGONIA;CHUBUT;Desarrollo de prActicas agronómicas para reducir las emisiones de CO2 en cultivos de interEs comercial en Patagonia;INBIOP;Consejo Nacional de Investigaciones Científicas y TEcnicas (CONICET);PUBLICO;18000000;4500000;22500000;0.8;4500000;9000000;450000;CONICET;08-Agricultura
44;CT-6-PFI-2023;6;CT;PATAGONIA;CHUBUT;Adecuación de tEcnicas de construcción de invernAculos para las condiciones climAticas del centro norte de Chubut;UNIVERSIDAD DEL CHUBUT;UNIVERSIDAD DEL CHUBUT;PUBLICO;12000000;4828631;16828631;0.713070480896515;4828631;480000;240000;Univ Pub;08-Agricultura
45;CB-1-PFI-2023;1;CB;CENTRO;CORDOBA;Implementación de marcadores genEticos de identidad y de fenotipo mediante secuenciación masiva del ADN , para su aplicación en casos forenses complejos ;Instituto de GenEtica Forense - Poder Judicial de Cordoba (reconocido como lugar de trabajo por CONICET) ;Poder Judicial de Cordóba ;PUBLICO;21657077;11724441;33381518;0.648774480537404;11724441;0;740000;Org Pub;11-Estructuras, procesos y sistemas políticos y sociales
46;CB-2-PFI-2023;2;CB;CENTRO;CORDOBA;INTEGRACIÓN DE NANOTECNOLOGÍA EN LA PRODUCCIÓN DE BATERIAS AVANZADAS DE PLOMO/CARBON EN LA PROVINCIA DE CORDOBA;UNIVERSIDAD NACIONAL DE RIO CUARTO;UNIVERSIDAD NACIONAL DE RIO CUARTO;PUBLICO;10000000;11473808;21473808;0.465683589980873;11473808;2000000;0;Univ Pub;06-Producción y tecnología industrial
47;CB-3-PFI-2023;3;CB;CENTRO;CORDOBA;Producción de embriones bovinos de bajo coste a partir de cElulas germinales recuperadas pos mortem y desarrolllos de medios para producción de embriones bovinos in vitro ;Instituto de Reproducción Animal CORDOBA;Biogen Argentina S.A;PRIVADO;10000000;4480000;14480000;0.69060773480663;0;1770000;0;Emp Priv;06-Producción y tecnología industrial
48;CB-4-PFI-2023;4;CB;CENTRO;CORDOBA;"Desarrollo y escalado a planta piloto de soluciones sanitizantes y desinfectantes de superficies
hospitalarias e instrumental mEdico orientado a hospitales y centros de salud públicos y privados.";CEPROCOR;LABORATORIO FITONATURE S.R.L;PRIVADO;15000000;6825000;21825000;0.687285223367698;0;2770000;0;Emp Priv;07-Salud
49;CB-5-PFI-2023;5;CB;CENTRO;CORDOBA;"Acceso a tecnologías de procesos para la eficiencia en el uso de los recursos disponibles en los
sistemas ganaderos de cría de la provincia de CORDOBA";Facultad de Ciencias Agropecuarias Universidad Nacional de CORDOBA;UNIVERSIDAD NACIONAL DE CORDOBA Facultad de Ciencias Agropecuarias ;PUBLICO;25000000;7510781;32510781;0.768975682251374;7510781;9793174;616000;Univ Pub;08-Agricultura
50;CB-6-PFI-2023;6;CB;CENTRO;CORDOBA;Desarrollo de un mEtodo no invasivo (test diagnóstico) para diferenciar embriones humanos basado en el metabolismo embrionario y el uso de inteligencia artificial;CEQUIMAP - Universidad Nacional de CORDOBA (UNC);Ovoxite S.A.S;PRIVADO;15000000;6600000;21600000;0.694444444444444;0;0;0;Emp Priv;07-Salud
51;CB-7-PFI-2023;7;CB;CENTRO;CORDOBA;"Aplicación de la secuenciación masiva y la bioinformAtica al
diagnóstico molecular clínico de enfermedades poco frecuentes";FACULTAD DE CIENCIAS QUÍMICAS;UNIVERSIDAD NACIONAL DE CORDOBA;PUBLICO;15000000;6000000;21000000;0.714285714285714;6000000;5000000;0;Univ Pub;07-Salud
52;CB-8-PFI-2023;8;CB;CENTRO;CORDOBA;"INNOVACIÓN APLICADA AL DESARROLLO DE MEDICAMENTOS HUERFANOS:
OPTIMIZACIÓN DE HISTIDINATO DE COBRE INYECTABLE PARA EL TRATAMIENTO DE LA
ENFERMEDAD DE MENKES";Unidad de Investigación y Desarrollo en Tecnología FarmacEutica - UNITEFA;Unidad de Investigación y Desarrollo en Tecnología FarmacEutica - UNITEFA;PUBLICO;28000000;8019000;36019000;0.777367500485855;8019000;14000000;640000;CONICET;07-Salud
53;CB-9-PFI-2023;9;CB;CENTRO;CORDOBA;"DESARROLLO DE BIOMA TERIALES FUNCIONALIZADOS CON CONCENTRADO DE LIQUIDO
PLACENTARIO PARA APLICACIÓN MEDICA";"Depto. De Ciencias FarmacEuticas de la Facultad de Ciencias
Químicas - UNC";INBIOMED S.A.;PRIVADO;11000000;4714286;15714286;0.699999987272727;0;5500000;300000;Emp Priv;07-Salud
54;CB-10-PFI-2023;10;CB;CENTRO;CORDOBA;"Adecuación de una plataforma tecnológica para el desarrollo de materiales de referencia aplicados a plantas
elaboradoras de alimentos.";CEPROCOR: UNIDAD DE METROLOGÍA Y DE ESPECTROMETRÍA;CENTRO DE EXCELENCIA DE PRODUCTOS Y PROCESOS (CEPROCOR);PUBLICO;16342923;8496800;24839723;0.657934993880568;6030000;8159675;0;Org Pub;08-Agricultura
55;CB-11-PFI-2023;11;CB;CENTRO;CORDOBA;Ahorro y Eficiencia EnergEtica en el Sector Turístico. Soluciones tEcnicas, arquitectónicas y urbanas sustentables para Miramar de Ansenuza;Area de diseño bioclimAtico del centro experimental de la vivienda económica CONICET- AVE (ADB);Municipalidad de Miramar de Ansenuza;PUBLICO;16000000;4000000;20000000;0.8;4000000;250000;0;Municipio;02-Medio Ambiente
56;CB-12-PFI-2023;12;CB;CENTRO;CORDOBA;Mejora de la producción de pasturas en el NO  CordobEs agregando valor en origen a semillas forrajeras por incorporación de bioinsumos en matrices naturales.;Instituto Nacional de Tecnología Agropecuaria (INTA);Municipalidad de Quilino;PUBLICO;17000000;8040000;25040000;0.678913738019169;8040000;8500000;0;Municipio;08-Agricultura
57;CR-1-PFI-2023;1;CR;NEA;CORRIENTES;Evaluación analítica de la calidad de la leche de búfalas de corrientes para el agregado de valor de origen ;Universidad Nacional del Nordeste- Facultad de Ciencias Veterinarias;Asociación Argentina de Criadores de Búfalos;PRIVADO;15000000;3450000;18450000;0.813008130081301;3450000;8500000;300000;ESFL;08-Agricultura
58;CR-2-PFI-2023;2;CR;NEA;CORRIENTES;Mejoramiento genEtico a travEs del cruzamiento de razas de producción lechera para obtener biotipos adaptados al nordeste argentino.;UNNE ; Instituto Desarrollo Rural de Corrientes -IDERCOR-;PUBLICO;11500000;2592000;14092000;0.816065852966222;2592000;6500000;450000;Org Pub;08-Agricultura
59;CR-3-PFI-2023;3;CR;NEA;CORRIENTES;Planta de reciclado mecAnico para obtención de Fibra de PoliEster a partir de botellas plAsticas,;INTI ;AZURAH.SASU;PRIVADO;15000000;3012000;18012000;0.832778147901399;3012000;5810000;640000;Emp Priv;02-Medio Ambiente
60;CR-4-PFI-2023;4;CR;NEA;CORRIENTES;"Incorporación de tecnologías de información geogrAfica para el manejo de explotaciones
forestales";Universidad Nacional del Nordeste;Universidad Nacional del Nordeste- Facultad de Ciencias Agrarias ;PUBLICO;11400000;3579000;14979000;0.761065491688364;2850000;4130000;200000;Univ Pub;08-Agricultura
61;CR-5-PFI-2023;5;CR;NEA;CORRIENTES;Accesibilidad cultural en el Anfiteatro Mario del TrAnsito Cocomarola a partir de la implementación de innovaciones tecnológicas y organizacionales;Universidad de la Cuenca del Plata;Instituto de Cultura de Corrientes;PUBLICO;14000000;3500000;17500000;0.8;3500000;5700000;400000;Org Pub;10-Cultura, recreación, religión y medios de comunicación
62;CR-6-PFI-2023;6;CR;NEA;CORRIENTES;Carnadas vivas para la pesca recreativa. Escalamiento y expansión territorial.;"UNIVERSIDAD NACIONAL DEL NORDESTE – FACULTAD DE
CIENCIAS VETERINARIAS";"UNIVERSIDAD NACIONAL DEL NORDESTE – FACULTAD DE
CIENCIAS VETERINARIAS";PUBLICO;10000000;4960000;14960000;0.668449197860963;0;5600000;0;Univ Pub;07-Salud
63;CR-7-PFI-2023;7;CR;NEA;CORRIENTES;MONITOREO DE MICROCLIMAS EN LAS DISTINTAS UNIDADES DE PAISAJES DENTRO DE RESERVAS Y PARQUES PROVINCIALES DEL TERRITORIO CORRENTINO;"Centro de Ecología Aplicada del Litoral -
CECOAL";Ministerio de Turismo- Dirección de Parques y Reservas ;PUBLICO;12900000;6600000;19500000;0.661538461538462;0;5500000;640000;Org Pub;01-Exploración y explotación de la tierra
64;CR-8-PFI-2023;8;CR;NEA;CORRIENTES;Diseño y Desarrollo de una Base de Datos para la Gestión Integral de Legajos de Internos en el Servicio Penitenciario de la Provincia de Corrientes;"Universidad de la Cuenca del
Plata";"Servicio Penitenciario de la Provincia de
Corrientes";PUBLICO;10000000;2597000;12597000;0.793839803127729;0;4460000;630000;Org Pub;06-Producción y tecnología industrial
65;CR-9-PFI-2023;9;CR;NEA;CORRIENTES;Generación solar para sistema de riego existentes para productores agropecuarios asociados a la cooperativa agropecuaria y de electricidad Monte Caseros Limitada;UNIVERSIDAD NACIONAL DEL NORDESTE;"COOPERATIVA AGROPECUARIA Y DE
ELECTRICIDAD MONTE CASEROS LIMITADA";PRIVADO;12000000;2400000;14400000;0.833333333333333;2400000;6000000;0;ESFL;08-Agricultura
