Nro;ID_PFI2023;ORDEN DE PRIORIZACIÓN DE LA JURISDICCIÓN;ID_JURISDICCION;REGION;JURISDICCION;TITULO;INSTITUCION EJECUTORA;INSTITUCION BENEFICIARIA;CARACTER DE LA INSTITUCION BENEFICIARIA;MONTO MINCYT SOLICITADO;MONTO CONTRAPARTE ;MONTO TOTAL PROYECTO;RELACION MINCYT;MONTO RUBRO RECURSOS HUMANOS;MONTO BIENES DE CAPITAL;MONTO FORMULACION PY UVT;PERFIL INSTITUCIONAL del BENEFICIARIO;OSE PRINCIPAL
161;RN-8-PFI-2023;8;RN;PATAGONIA;RIO NEGRO;Nuevas oportunidades en la producción regional del lúpulo: micropropagación y uso fitoquímico para potenciar sus aplicaciones industriales y superar obstAculos;;Universidad Nacional de Rio Negro;PUBLICO;15000000;3750000;18750000;0.8;3750000;6200000;0;Univ Pub;08-Agricultura
162;RN-9-PFI-2023;9;RN;PATAGONIA;RIO NEGRO;Obtencion de un ingrediente alimentario a partir de un subproducto de la agroindustria rionegrina: orujo de manzana ;UNRN;Universidad Nacional de Rio Negro;PUBLICO;15000000;3750000;18750000;0.8;3750000;14200000;0;Univ Pub;06-Producción y tecnología industrial
163;RN-10-PFI-2023;10;RN;PATAGONIA;RIO NEGRO;Carne carbono neutra. Desarrollo de herramientas para estimar con una app la captura de carbono en sistemas silvopastoriles de valles irrigados.;CIEFAP;Centro de Investigación y Extensión Forestal Andino Patagónico (CIEFAP);PUBLICO;20000000;5568000;25568000;0.782227784730914;5568000;20000000;0;Otros Org CyT;08-Agricultura
164;SA-1-PFI-2023;1;SA;NOA;SALTA;"Sustentabilidad 3.0.: Desarrollo de App y uso de tecnologías de drones para implementar
sistema de alarma para el MIC en el cultivo de tabaco";"INTA
Centro Regional Salta-Jujuy (EEA Salta)";Instituto Nacional de Tecnologia Agropecuaria -INTA-;PUBLICO;26150591;6598800;32749391;0.798506176801883;6598800;11897000;640000;INTA;08-Agricultura
165;SA-2-PFI-2023;2;SA;NOA;SALTA;Intervenciones de control para mitigación de los casos de Salmonella Paratyphi B, endEmica en la ciudad de Salta;INIQUI-UNSa-CONICET;INSTITUTO DE INVESTIGACIONES PARA LA INDUSTRIA (INIQUI) - CONICET;PUBLICO;35540000;16536000;52076000;0.682464090944005;16416000;17770000;640000;CONICET;07-Salud
166;SA-3-PFI-2023;3;SA;NOA;SALTA;AnAlisis geoespacial de la deficiencia de yodo en la provincia de Salta: Confección de un mapa multidimensional que permita identificar Areas de riesgo para la salud humana y la producción animal.;CCT SALTA-JUJUY, INTA, IBIGEO, CNEA;HOSPITAL DR ATURO OÑATIVIA (HAO);PUBLICO;37553159;30289981;67843140;0.5535291998572;28284000;18054339;640000;Org Pub;07-Salud
167;SA-4-PFI-2023;4;SA;NOA;SALTA;Desarrollo de una plataforma de medicina genómica de precisión aplicada al diagnóstico de trastornos del neurodesarrollo (TDN) en población infantil asistida en el Hospital Público Materno Infantil de Salta;CCT CONICET SALTA-JUJUY;FUNDACION HOSPITAL PÚBLICO MATERNO INFANTIL;PUBLICO;22300000;20010000;42310000;0.527062160245805;20010000;6350000;640000;ESFL;07-Salud
168;SA-5-PFI-2023;5;SA;NOA;SALTA;NUEVOS PANELES CON UN ENFOQUE SINDRÓMICO PARA EL DIAGNOSTICO MOLECULAR DE ENFERMEDADES DE IMPORTANCIA SANITARIA EN EL NOROESTE ARGENTINO: SALMONELOSIS, DENGUE, COVID-19 E INFLUENZA;Instituto de Investigación para la Industria Química (INIQUI);Consejo Nacional de Investigaciones Científicas y TEcnicas (CONICET);PUBLICO;12534200;12780000;25314200;0.495145017421052;12780000;6000000;640000;CONICET;07-Salud
169;SA-6-PFI-2023;6;SA;NOA;SALTA;Transferencia de plantines de caña de azúcar de alta calidad para su uso como caña semilla.;Chacra Experimental Agricola Santa Rosa;Chacra Experimental Agricola Santa Rosa;PRIVADO;20765650;10740110;31505760;0.65910646180254;0;8665650;0;Emp Priv;08-Agricultura
170;SA-7-PFI-2023;7;SA;NOA;SALTA;Aplicación de Inteligencia Artificial (aprendizaje automAtico) a la prospección avanzada de recursos minerales (pórfidos Cu-Mo-Au y epitermales Au-Ag-Cu) en la Puna Salteña.;Instituto de Bio y Geociencias del NOA, CONICET-UNSa;Consejo Nacional de Investigaciones Científicas y TEcnicas (CONICET);PUBLICO;25099500;10280000;35379500;0.70943625545867;10280000;8053000;640000;CONICET;01-Exploración y explotación de la tierra
